Player,height_cm,weight_kg,weak_foot,X90s,Gls,Ast,G.A,G.PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G.A_90,G.PK_90,G.A.PK_90,xG_90,xAG_90,xG.xAG_90,npxG_90,npxG.xAG_90,main_position,player_positions,pos_LB,pos_CB,pos_RB,pos_RWB,pos_GK,pos_LM,pos_CM,pos_CAM,pos_CDM,pos_RW,pos_RM,pos_ST,pos_LW,pos_LWB,pos_CF
Nathan Redmond,173,69,3,1.6,0,0,0,0,0,0,1,0,0,0,0.3,0.3,7,8,22,0,0,0,0,0,0,0.19,0.19,0,0.19,RM,"RM, LM, ST",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Nathaniel Clyne,175,67,2,14.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,10,33,18,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,RB,RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nayef Aguerd,190,76,3,20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Neal Maupay,173,69,3,14.7,6,3,9,6,0,0,8,0,5.7,5.7,2.3,8.1,21,37,91,0.41,0.2,0.61,0.41,0.61,0.39,0.16,0.55,0.39,0.55,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Neal Maupay,173,69,3,1.2,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,1,0,6,0,0,0,0,0,1.16,0.05,1.22,1.16,1.22,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Neco Williams,183,72,3,18.2,0,1,1,0,0,0,4,0,0.8,0.8,1.6,2.5,48,47,86,0,0.05,0.05,0,0.05,0.04,0.09,0.13,0.04,0.13,RWB,"RWB, RB, LWB",0,0,1,1,0,0,0,0,0,1,0,0,1,1,0
Nélson Semedo,177,69,3,34.3,0,1,1,0,0,0,10,1,1.3,1.3,1.7,3,103,138,150,0,0.03,0.03,0,0.03,0.04,0.05,0.09,0.04,0.09,RB,"RB, RWB",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Neto,190,84,2,32,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nick Pope,199,76,3,14.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nicolás Domínguez,179,73,5,16.6,2,2,4,2,0,0,4,0,1.3,1.3,1,2.3,14,91,43,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.14,0.08,0.14,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Nicolas Jackson,186,78,3,31.1,14,5,19,14,0,0,10,0,18.6,18.6,4.3,22.9,70,67,200,0.45,0.16,0.61,0.45,0.61,0.6,0.14,0.74,0.6,0.74,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nicolò Zaniolo,190,79,3,9.3,2,0,2,2,0,0,7,0,2.6,2.6,1,3.6,35,30,60,0.21,0,0.21,0.21,0.21,0.28,0.11,0.39,0.28,0.39,RM,"RM, CF",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Nuno Tavares,183,75,4,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,14,24,12,0,0,0,0,0,0.03,0.1,0.13,0.03,0.13,LB,"LB, LM",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisseas Vlachodimos,190,81,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Odsonne Édouard,187,83,4,17.3,7,0,7,7,0,0,4,0,6.2,6.2,1.2,7.4,33,36,100,0.41,0,0.41,0.41,0.41,0.36,0.07,0.43,0.36,0.43,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Oleksandr Zinchenko,175,64,3,19.1,1,2,3,1,0,0,2,0,0.6,0.6,2.5,3.1,40,229,58,0.05,0.1,0.16,0.05,0.16,0.03,0.13,0.16,0.03,0.16,LB,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver McBurnie,191,77,3,14.2,6,3,9,4,2,2,7,2,6.9,5.3,2,7.3,6,30,60,0.42,0.21,0.63,0.28,0.49,0.48,0.14,0.62,0.37,0.51,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Oliver Norwood,175,69,3,16,1,0,1,0,1,1,8,0,1.1,0.3,0.6,0.9,3,73,10,0.06,0,0.06,0,0,0.07,0.04,0.11,0.02,0.06,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Oliver Skipp,175,70,3,7.9,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.3,8,37,25,0,0,0,0,0,0.09,0.07,0.16,0.09,0.16,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Ollie Watkins,180,70,4,35.7,19,13,32,19,0,0,4,0,16.8,16.8,7.3,24.2,62,55,214,0.53,0.36,0.9,0.53,0.9,0.47,0.21,0.68,0.47,0.68,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Omari Kellyman,182,66,3,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,0,0,0,0,0,0,0.17,0,0.17,0.17,0.17,CAM,"CAM, RW, LW",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
